código,tipo,municipio,territorial,nivel_subsiguiente,fuente,altitud,latitud,longitud,ubicacion,codigo_ideam,categoria_ideam
2112,Pluviógrafo IDEAM,Valdivia,Panzenú,Directos al Cauca (mi) entre Pto Valdivia y R. Nechí,Quebrada Valdivia,1132,7.1572778,-75.4422222,"Santa Isabel, Valdivia",26255030.0,AM
2113,Pluviógrafo IDEAM,Vegachí,Zenufaná,R. San Bartolo y otros directos al Magdalena Medio - NSS,Río Volcan,990,6.7741111,-74.7965278,Vegachí,23105060.0,AM
AN_BAR_1,Registro Manual,Barbosa,Aburrá Norte,Rio Aburrá - NSS,,1000,6.4230240,-75.3983890,El Hatillo,,
AN_BAR_12,Registro Manual,Barbosa,Aburrá Norte,Rio Aburrá - NSS,,1000,6.4533330,-75.3052780,Tamborcito,,
AN_BAR_13,Registro Manual,Barbosa,Aburrá Norte,Rio Aburrá - NSS,,1000,6.4155560,-75.4202780,El Hatillo,,
AN_BAR_14,Registro Manual,Barbosa,Aburrá Norte,Rio Aburrá - NSS,,1000,6.4130560,-75.3913890,El Hatillo,,
AN_BAR_2,Registro Manual,Barbosa,Aburrá Norte,Rio Aburrá - NSS,,1000,6.4373530,-75.3313790,Casco Urbano,,
AN_BAR_3,Registro Manual,Barbosa,Aburrá Norte,Rio Aburrá - NSS,,1000,6.4094010,-75.3972120,El Hatillo,,
AN_BAR_4,Registro Manual,Barbosa,Aburrá Norte,Rio Aburrá - NSS,,1000,6.4404160,-75.3332180,Casco Urbano,,
AN_BAR_6,Registro Manual,Barbosa,Aburrá Norte,Rio Aburrá - NSS,,1000,6.4730210,-75.2740790,Popalito,,
AN_BAR_7,Registro Manual,Barbosa,Aburrá Norte,Rio Aburrá - NSS,,1000,6.4704910,-75.2765350,Popalito,,
AN_BEL_1,Registro Manual,Bello,Aburrá Norte,Rio Aburrá - NSS,,1000,6.3416030,-75.6136220,San Felix,,
AN_BEL_11,Registro Manual,Bello,Aburrá Norte,Rio Aburrá - NSS,,1000,6.3470810,-75.5681010,Bellavista,,
AN_BEL_13,Registro Manual,Bello,Aburrá Norte,Rio Aburrá - NSS,,1000,6.3316390,-75.5828330,Potrerito,,
AN_BEL_2,Registro Manual,Bello,Aburrá Norte,Rio Aburrá - NSS,,1000,6.3458860,-75.6165360,San Felix,,
AN_BEL_3,Registro Manual,Bello,Aburrá Norte,Rio Aburrá - NSS,,1000,6.3470320,-75.6059750,San Felix,,
AN_BEL_4,Registro Manual,Bello,Aburrá Norte,Rio Aburrá - NSS,,1000,6.3399450,-75.6062180,San Felix,,
AN_BEL_5,Registro Manual,Bello,Aburrá Norte,Rio Aburrá - NSS,,1000,6.3430210,-75.6111950,San Felix,,
AN_BEL_6,Registro Manual,Bello,Aburrá Norte,Rio Aburrá - NSS,,1000,6.3451320,-75.6058540,San Felix,,
AN_BEL_7,Registro Manual,Bello,Aburrá Norte,Rio Aburrá - NSS,,1000,6.3484190,-75.6141990,San Felix,,
AN_BEL_8,Registro Manual,Bello,Aburrá Norte,Rio Aburrá - NSS,,1000,6.3367780,-75.6048220,San Felix,,
AN_GIR_1,Registro Manual,Girardota,Aburrá Norte,Rio Aburrá - NSS,,1000,6.3821570,-75.4493910,Mercedes Abrego,,
AN_GIR_2,Registro Manual,Girardota,Aburrá Norte,Rio Aburrá - NSS,,1000,6.4089440,-75.4413060,Mercedes Abrego,,
AN_GIR_3,Registro Manual,Girardota,Aburrá Norte,Rio Aburrá - NSS,,1000,6.4116670,-75.4419720,Mercedes Abrego,,
AN_BEL_14,Registro Manual,Medellín,Aburrá Norte,Rio Aburrá - NSS,,1000,6.2471670,-75.5811940,Potrerito,,
AN_MED_1,Registro Manual,Medellín,Aburrá Norte,Rio Aburrá - NSS,,1000,6.2202790,-75.6455750,Altavista,,
AN_MED_10,Registro Manual,Medellín,Aburrá Norte,Rio Aburrá - NSS,,1000,6.2243100,-75.6170270,Altavista ,,
AN_MED_14,Registro Manual,Medellín,Aburrá Norte,Rio Aburrá - NSS,,1000,6.2205560,-75.6151390,Altavista ,,
AN_MED_16,Registro Manual,Medellín,Aburrá Norte,Rio Aburrá - NSS,,1000,6.1811940,-75.6616940,San Antonio,,
AN_MED_17,Registro Manual,Medellín,Aburrá Norte,Rio Aburrá - NSS,,1000,6.1808890,-75.6612220,San Antonio,,
AN_MED_18,Registro Manual,Medellín,Aburrá Norte,Rio Aburrá - NSS,,1000,6.1767780,-75.6601390,San Antonio,,
AN_MED_2,Registro Manual,Medellín,Aburrá Norte,Rio Aburrá - NSS,,1000,6.2516720,-75.4998510,Santa Elena,,
AN_MED_3,Registro Manual,Medellín,Aburrá Norte,Rio Aburrá - NSS,,1000,6.2065720,-75.6144670,Altavista,,
AN_MED_4,Registro Manual,Medellín,Aburrá Norte,Rio Aburrá - NSS,,1000,6.1784750,-75.6618260,San Antonio,,
AN_MED_9,Registro Manual,Medellín,Aburrá Norte,Rio Aburrá - NSS,,1000,6.2110640,-75.4983660,Santa Elena,,
